,Virus,ScientificName,accession,most_specific_diagnostic_Test,Order,Family,Genus,Species,common_names,viral_family
358,Rabies lyssavirus,Ursus maritimus,1,PCR,CARNIVORA,URSIDAE,Ursus,maritimus,Polar Bear,Rhabdoviridae
359,Rabies lyssavirus,Vulpes chama,3,PCR,CARNIVORA,CANIDAE,Vulpes,chama,"Cape Fox, Silver Jackal, Silver Fox",Rhabdoviridae
360,Rabies lyssavirus,Vulpes lagopus,198,PCR,CARNIVORA,CANIDAE,Vulpes,lagopus,"Arctic Fox, Polar Fox",Rhabdoviridae
361,Rabies lyssavirus,Vulpes vulpes,149,PCR,CARNIVORA,CANIDAE,Vulpes,vulpes,"Red Fox, Silver Fox, Cross Fox",Rhabdoviridae
362,Rift Valley fever virus,Bison bison,2,PCR,CETARTIODACTYLA,BOVIDAE,Bison,bison,American Bison,Phenuiviridae
363,Rift Valley fever virus,Bos taurus,158,PCR,CETARTIODACTYLA,BOVIDAE,Bos,taurus,,Phenuiviridae
364,Rift Valley fever virus,Capra aegagrus,2,PCR,CETARTIODACTYLA,BOVIDAE,Capra,aegagrus,"Wild Goat, Bezoar",Phenuiviridae
365,Rift Valley fever virus,Capra hircus,16,PCR,CETARTIODACTYLA,BOVIDAE,Capra,hircus,,Phenuiviridae
366,Rift Valley fever virus,Hipposideros caffer,3,PCR,CHIROPTERA,HIPPOSIDERIDAE,Hipposideros,caffer,"Sundevall's Roundleaf Bat, Lesser Leaf-nosed bat, Common African Leaf-nosed Bat, Sundevall's Leafnosed Bat, Cape Leaf-nosed bat",Phenuiviridae
367,Rift Valley fever virus,Homo sapiens,318,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Phenuiviridae
368,Rift Valley fever virus,Micropteropus pusillus,2,PCR,CHIROPTERA,PTEROPODIDAE,Micropteropus,pusillus,Peter's Dwarf Epauletted Fruit Bat,Phenuiviridae
369,Rift Valley fever virus,Ovis aries,40,PCR,CETARTIODACTYLA,BOVIDAE,Ovis,aries,,Phenuiviridae
370,Rift Valley fever virus,Syncerus caffer,7,PCR,CETARTIODACTYLA,BOVIDAE,Syncerus,caffer,African Buffalo,Phenuiviridae
371,Rio Mamore hantavirus,Homo sapiens,1,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Hantaviridae
372,Rio Mamore hantavirus,Oligoryzomys microtis,12,PCR,RODENTIA,CRICETIDAE,Oligoryzomys,microtis,Small-eared Pygmy Rice Rat,Hantaviridae
373,Ross River virus,Grallina cyanoleuca,1,PCR,PASSERIFORMES,MONARCHIDAE,Grallina,cyanoleuca,"Magpie-lark, Magpielark",Togaviridae
374,Ross River virus,Homo sapiens,252,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Togaviridae
375,Ross River virus,Macropus agilis,2,PCR,DIPROTODONTIA,MACROPODIDAE,Macropus,agilis,Agile Wallaby,Togaviridae
376,Ross River virus,Microeca fascinans,1,PCR,PASSERIFORMES,PETROICIDAE,Microeca,fascinans,"Jacky-winter, Jacky Winter",Togaviridae
377,Ross River virus,Poephila personata,1,PCR,PASSERIFORMES,ESTRILDIDAE,Poephila,personata,Masked Finch,Togaviridae
378,Rotavirus,Homo sapiens,5,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Reoviridae
379,San Miguel sea lion virus,Zalophus californianus,5,PCR,CARNIVORA,OTARIIDAE,Zalophus,californianus,Californian Sea Lion,Caliciviridae
380,Sandfly fever Sicilian virus,Homo sapiens,8,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Phenuiviridae
381,Seal parapoxvirus,Halichoerus grypus,3,PCR,CARNIVORA,PHOCIDAE,Halichoerus,grypus,"Grey Seal, Long-nosed Seal, Horsehead Seal, Gray Seal",Poxviridae
382,Seal parapoxvirus,Leptonychotes weddellii,3,PCR,CARNIVORA,PHOCIDAE,Leptonychotes,weddellii,Weddell Seal,Poxviridae
383,Seal parapoxvirus,Phoca vitulina,1,PCR,CARNIVORA,PHOCIDAE,Phoca,vitulina,"Harbor Seal, Harbour Seal, Common Seal",Poxviridae
384,Semliki Forest virus,Capra hircus,1,PCR,CETARTIODACTYLA,BOVIDAE,Capra,hircus,,Togaviridae
